date,product_id,daily_sales,daily_revenue,product_name,category,year,month,day_of_week,is_weekend,is_holiday_season
2017-01-31,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,1,1,0,0
2017-02-03,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,4,0,0
2017-02-05,154e7e31ebfa092203795c972e5804a6,2,39.98,Beauty Care Kit,health_beauty,2017,2,6,1,0
2017-02-06,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,0,0,0
2017-02-07,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,1,0,0
2017-02-08,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,2,0,0
2017-02-10,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,2,4,0,0
2017-02-11,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,5,1,0
2017-02-15,d1c427060a0f73f6b889a5c7c61f2ac4,1,159.99,Computer Accessory Bundle,computers_accessories,2017,2,2,0,0
2017-02-19,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,2,6,1,0
2017-02-21,d1c427060a0f73f6b889a5c7c61f2ac4,1,159.99,Computer Accessory Bundle,computers_accessories,2017,2,1,0,0
2017-02-23,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,3,0,0
2017-02-23,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,2,3,0,0
2017-02-23,d1c427060a0f73f6b889a5c7c61f2ac4,1,159.99,Computer Accessory Bundle,computers_accessories,2017,2,3,0,0
2017-02-25,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,2,5,1,0
2017-02-26,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,2,6,1,0
2017-02-27,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,0,0,0
2017-02-28,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,2,1,0,0
2017-02-28,35afc973633aaeb6b877ff57b2793310,1,89.9,Home Confort Product,home_confort,2017,2,1,0,0
2017-02-28,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,2,1,0,0
2017-03-01,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,3,2,0,0
2017-03-01,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,2,0,0
2017-03-02,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,3,3,0,0
2017-03-02,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,3,0,0
2017-03-04,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,3,5,1,0
2017-03-04,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,5,1,0
2017-03-05,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,6,1,0
2017-03-06,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,3,0,0,0
2017-03-06,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,3,0,0,0
2017-03-06,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,0,0,0
2017-03-07,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,3,1,0,0
2017-03-07,e0d64dcfaa3b6db5c54ca298ae101d05,2,462.54,Designer Watch,watches_gifts,2017,3,1,0,0
2017-03-08,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,2,0,0
2017-03-09,2b4609f8948be18874494203496bc318,1,89.99,Beauty Care Kit,health_beauty,2017,3,3,0,0
2017-03-09,35afc973633aaeb6b877ff57b2793310,1,89.9,Home Confort Product,home_confort,2017,3,3,0,0
2017-03-09,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,3,0,0
2017-03-09,e0d64dcfaa3b6db5c54ca298ae101d05,1,231.27,Designer Watch,watches_gifts,2017,3,3,0,0
2017-03-10,154e7e31ebfa092203795c972e5804a6,2,39.98,Beauty Care Kit,health_beauty,2017,3,4,0,0
2017-03-10,7c1bd920dbdf22470b68bde975dd3ccf,2,129.98,Beauty Care Kit,health_beauty,2017,3,4,0,0
2017-03-10,d1c427060a0f73f6b889a5c7c61f2ac4,1,159.99,Computer Accessory Bundle,computers_accessories,2017,3,4,0,0
2017-03-10,e0d64dcfaa3b6db5c54ca298ae101d05,1,255.61,Designer Watch,watches_gifts,2017,3,4,0,0
2017-03-11,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,5,1,0
2017-03-13,2b4609f8948be18874494203496bc318,1,89.99,Beauty Care Kit,health_beauty,2017,3,0,0,0
2017-03-13,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,0,0,0
2017-03-14,2b4609f8948be18874494203496bc318,3,269.96999999999997,Beauty Care Kit,health_beauty,2017,3,1,0,0
2017-03-14,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,3,1,0,0
2017-03-16,35afc973633aaeb6b877ff57b2793310,1,89.9,Home Confort Product,home_confort,2017,3,3,0,0
2017-03-16,7c1bd920dbdf22470b68bde975dd3ccf,2,129.98,Beauty Care Kit,health_beauty,2017,3,3,0,0
2017-03-16,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,3,0,0
2017-03-17,2b4609f8948be18874494203496bc318,1,89.99,Beauty Care Kit,health_beauty,2017,3,4,0,0
2017-03-18,154e7e31ebfa092203795c972e5804a6,1,19.99,Beauty Care Kit,health_beauty,2017,3,5,1,0
2017-03-19,d1c427060a0f73f6b889a5c7c61f2ac4,1,159.99,Computer Accessory Bundle,computers_accessories,2017,3,6,1,0
2017-03-20,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,0,0,0
2017-03-21,154e7e31ebfa092203795c972e5804a6,3,59.97,Beauty Care Kit,health_beauty,2017,3,1,0,0
2017-03-23,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,3,0,0
2017-03-24,7c1bd920dbdf22470b68bde975dd3ccf,1,64.99,Beauty Care Kit,health_beauty,2017,3,4,0,0
2017-03-27,35afc973633aaeb6b877ff57b2793310,1,89.9,Home Confort Product,home_confort,2017,3,0,0,0
2017-03-27,99a4788cb24856965c36a24e339b6058,2,179.8,Premium Bedding Set,bed_bath_table,2017,3,0,0,0
2017-03-28,d1c427060a0f73f6b889a5c7c61f2ac4,1,159.99,Computer Accessory Bundle,computers_accessories,2017,3,1,0,0
2017-03-29,35afc973633aaeb6b877ff57b2793310,1,89.9,Home Confort Product,home_confort,2017,3,2,0,0
2017-03-29,e0d64dcfaa3b6db5c54ca298ae101d05,1,255.61,Designer Watch,watches_gifts,2017,3,2,0,0
2017-03-30,99a4788cb24856965c36a24e339b6058,1,89.9,Premium Bedding Set,bed_bath_table,2017,3,3,0,0
